global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
458,middle_connection,????,0,0,0,0.0,0.0,1.2220361612872643,3.765079201785001,0.929480925021112,0.18906326554038308,2882,middle_connection,,,,1.1275045285170728,3.6705475690148095,0.9272856399018129,2882,middle_connection,1.3165677940574558,3.6705475690148095,0.9178422834524768,2884,middle_connection,1.3165677940574558,3.859610834555193,0.9309641058554533,2884,middle_connection,1.1275045285170728,3.859610834555193,0.9468323882113955,2882,middle_connection
459,middle_connection,????,1,0,1,0.25,0.0,1.4110994268276476,3.765079201785001,0.9173142779426485,0.18906326554038308,2884,middle_connection,,,,1.316567794057456,3.6705475690148095,0.9178422834524766,2884,middle_connection,1.505631059597839,3.6705475690148095,0.9104501015827766,2436,middle_connection,1.505631059597839,3.859610834555193,0.9166707522835513,2436,middle_connection,1.316567794057456,3.859610834555193,0.9309641058554533,2884,middle_connection
460,middle_connection,????,2,0,2,0.5,0.0,1.6001626923680305,3.765079201785001,0.9100575100261483,0.18906326554038308,2436,middle_connection,,,,1.505631059597839,3.6705475690148095,0.9104501015827766,2436,middle_connection,1.694694325138222,3.6705475690148095,0.9038457323767838,2437,middle_connection,1.694694325138222,3.859610834555193,0.9053734611720559,2437,middle_connection,1.505631059597839,3.859610834555193,0.9166707522835513,2436,middle_connection
461,middle_connection,????,3,0,3,0.75,0.0,1.7892259579084135,3.765079201785001,0.8944814699503005,0.18906326554038308,2437,middle_connection,,,,1.694694325138222,3.6705475690148095,0.9038457323767838,2437,middle_connection,1.883757590678605,3.6705475690148095,0.8763923876283668,2439,middle_connection,1.883757590678605,3.859610834555193,0.8790453302526007,2439,middle_connection,1.694694325138222,3.859610834555193,0.9053734611720559,2437,middle_connection
462,middle_connection,????,4,0,4,1.0,0.0,1.9782892234487965,3.765079201785001,0.857551712667133,0.18906326554038308,2441,middle_connection,,,,1.883757590678605,3.6705475690148095,0.8763923876283668,2439,middle_connection,2.0728208562189883,3.6705475690148095,0.8207890732600487,2441,middle_connection,2.0728208562189883,3.859610834555193,0.8309455926993288,2442,middle_connection,1.883757590678605,3.859610834555193,0.8790453302526007,2439,middle_connection
463,middle_connection,????,5,1,0,0.0,0.2,1.2220361612872643,3.954142467325384,0.9364441318418296,0.18906326554038308,2431,middle_connection,,,,1.1275045285170728,3.8596108345551925,0.9468323882113956,2882,middle_connection,1.3165677940574558,3.8596108345551925,0.9309641058554533,2884,middle_connection,1.3165677940574558,4.0486741000955755,0.9231693092332671,2431,middle_connection,1.1275045285170728,4.0486741000955755,0.946150328718027,2426,middle_connection
464,middle_connection,????,6,1,1,0.25,0.2,1.4110994268276476,3.954142467325384,0.920413477909285,0.18906326554038308,2432,middle_connection,,,,1.316567794057456,3.8596108345551925,0.9309641058554534,2884,middle_connection,1.505631059597839,3.8596108345551925,0.9166707522835513,2436,middle_connection,1.505631059597839,4.0486741000955755,0.9026784415947605,2434,middle_connection,1.316567794057456,4.0486741000955755,0.9231693092332672,2431,middle_connection
465,middle_connection,????,7,1,2,0.5,0.2,1.6001626923680305,3.954142467325384,0.9060825783004441,0.18906326554038308,2434,middle_connection,,,,1.505631059597839,3.8596108345551925,0.9166707522835513,2436,middle_connection,1.694694325138222,3.8596108345551925,0.9053734611720559,2437,middle_connection,1.694694325138222,4.0486741000955755,0.8865401867911032,2438,middle_connection,1.505631059597839,4.0486741000955755,0.9026784415947605,2434,middle_connection
466,middle_connection,????,8,1,3,0.75,0.2,1.7892259579084135,3.954142467325384,0.8859126064204266,0.18906326554038308,2438,middle_connection,,,,1.694694325138222,3.8596108345551925,0.9053734611720559,2437,middle_connection,1.883757590678605,3.8596108345551925,0.8790453302526008,2439,middle_connection,1.883757590678605,4.0486741000955755,0.8621515613636616,2440,middle_connection,1.694694325138222,4.0486741000955755,0.8865401867911032,2438,middle_connection
467,middle_connection,????,9,1,4,1.0,0.2,1.9782892234487965,3.954142467325384,0.8531647161939182,0.18906326554038308,2440,middle_connection,,,,1.883757590678605,3.8596108345551925,0.8790453302526008,2439,middle_connection,2.0728208562189883,3.8596108345551925,0.8309455926993287,2442,middle_connection,2.0728208562189883,4.0486741000955755,0.827745610129256,2442,middle_connection,1.883757590678605,4.0486741000955755,0.8621515613636616,2440,middle_connection
