global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
360,thumb_connection,????,0,0,0,0.0,0.0,2.513195420819468,2.2313509732514207,0.8274686499483457,0.18906326554038308,50,thumb_connection,,,,2.408668945595452,2.3146976898372587,0.7615099186272831,2601,thumb_connection,2.596542137405306,2.335877448475436,0.6965401486401701,52,thumb_connection,2.6177218960434834,2.1480042566655824,0.8833380548983314,51,thumb_connection,2.4298487042336294,2.1268244980274056,0.9202901779981139,51,thumb_connection
361,thumb_connection,????,1,0,1,0.5,0.0,2.7010686126293213,2.2525307318895975,0.7752436679116737,0.18906326554038308,6558,thumb_connection,,,,2.5965421374053057,2.335877448475436,0.69654014864017,52,thumb_connection,2.7844153292151597,2.3570572071136127,0.6471156597771889,2595,thumb_connection,2.805595087853337,2.1691840153037596,0.8678694682604786,6555,thumb_connection,2.617721896043483,2.1480042566655824,0.8833380548983314,51,thumb_connection
362,thumb_connection,????,2,0,2,1.0,0.0,2.8889418044391744,2.2737104905277743,0.7537629027079353,0.18906326554038308,6558,thumb_connection,,,,2.784415329215159,2.3570572071136127,0.6471156597771889,2595,thumb_connection,2.9722885210250127,2.37823696575179,0.5990268900415667,2062,thumb_connection,2.99346827966319,2.1903637739419364,0.8563708297956404,6554,thumb_connection,2.8055950878533364,2.1691840153037596,0.8678694682604786,6555,thumb_connection
363,thumb_connection,????,3,1,0,0.0,0.16666666666666666,2.534375179457645,2.043477781441567,0.977982820766278,0.18906326554038308,2611,thumb_connection,,,,2.4298487042336294,2.1268244980274056,0.9202901779981139,51,thumb_connection,2.6177218960434834,2.1480042566655824,0.8833380548983314,51,thumb_connection,2.63890165468166,1.960131064855729,1.0205788021304585,2611,thumb_connection,2.451028462871806,1.938951306217552,1.0494638889384569,2610,thumb_connection
364,thumb_connection,????,4,1,1,0.5,0.16666666666666666,2.7222483712674985,2.064657540079744,0.9503031492908215,0.18906326554038308,6556,thumb_connection,,,,2.617721896043483,2.1480042566655824,0.8833380548983314,51,thumb_connection,2.805595087853337,2.1691840153037596,0.8678694682604786,6555,thumb_connection,2.8267748464915137,1.981310823493906,1.0064348729309078,6556,thumb_connection,2.6389016546816597,1.9601310648557289,1.0205788021304587,2611,thumb_connection
365,thumb_connection,????,5,1,2,1.0,0.16666666666666666,2.9101215630773516,2.0858372987179212,0.9382917841304541,0.18906326554038308,6556,thumb_connection,,,,2.8055950878533364,2.1691840153037596,0.8678694682604786,6555,thumb_connection,2.99346827966319,2.1903637739419364,0.8563708297956404,6554,thumb_connection,3.0146480383013667,2.002490582132083,1.0024918863952585,6553,thumb_connection,2.8267748464915132,1.981310823493906,1.0064348729309076,6556,thumb_connection
366,thumb_connection,????,6,2,0,0.0,0.3333333333333333,2.555554938095822,1.8556045896317137,1.0794799123510952,0.18906326554038308,2612,thumb_connection,,,,2.451028462871806,1.9389513062175516,1.0494638889384573,2610,thumb_connection,2.63890165468166,1.9601310648557289,1.0205788021304585,2611,thumb_connection,2.6600814133198374,1.7722578730458756,1.1066688313241941,2613,thumb_connection,2.4722082215099834,1.7510781144076986,1.1327639434807946,2612,thumb_connection
367,thumb_connection,????,7,2,1,0.5,0.3333333333333333,2.7434281299056753,1.8767843482698907,1.057883400179207,0.18906326554038308,2613,thumb_connection,,,,2.6389016546816597,1.9601310648557289,1.0205788021304587,2611,thumb_connection,2.8267748464915137,1.9813108234939059,1.0064348729309078,6556,thumb_connection,2.847954605129691,1.7934376316840526,1.0901342175443012,2616,thumb_connection,2.660081413319837,1.7722578730458753,1.1066688313241944,2613,thumb_connection
368,thumb_connection,????,8,2,2,1.0,0.3333333333333333,2.9313013217155284,1.8979641069080677,1.0468832665747985,0.18906326554038308,2614,thumb_connection,,,,2.8267748464915132,1.9813108234939056,1.0064348729309078,6556,thumb_connection,3.0146480383013667,2.002490582132083,1.0024918863952585,6553,thumb_connection,3.035827796939544,1.8146173903222296,1.0841684710317416,2616,thumb_connection,2.8479546051296905,1.7934376316840526,1.0901342175443012,2616,thumb_connection
369,thumb_connection,????,9,3,0,0.0,0.5,2.576734696733999,1.6677313978218602,1.1457228146675669,0.18906326554038308,2969,thumb_connection,,,,2.4722082215099834,1.7510781144076986,1.1327639434807946,2612,thumb_connection,2.6600814133198374,1.7722578730458756,1.1066688313241941,2613,thumb_connection,2.681261171958014,1.5843846812360223,1.1549010837574252,2971,thumb_connection,2.49338798014816,1.563204922597845,1.1856902196456682,2969,thumb_connection
