global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
626,pinky,??,0,0,0,0.0,0.0,-1.1717457525966615,5.790310773723271,1.1731810245271832,0.18906326554038308,6604,pinky,,,,-1.2640237646540575,5.693578009474895,1.1156192288091389,6606,pinky,-1.075012988348286,5.698032761665875,1.1818800523221242,6603,pinky,-1.0794677405392652,5.887043537971647,1.2046250804402179,6603,pinky,-1.2684785168450368,5.882588785780667,1.1313451897998434,1512,pinky
627,pinky,??,1,0,1,1.0,0.0,-0.9827349762908898,5.79476552591425,1.1874414628190892,0.18906326554038308,2317,pinky,,,,-1.075012988348286,5.698032761665875,1.1818800523221242,6603,pinky,-0.8860022120425145,5.702487513856854,1.1333814227489594,2319,pinky,-0.8904569642334937,5.891498290162626,1.1569229848490443,2319,pinky,-1.0794677405392652,5.887043537971647,1.2046250804402179,6603,pinky
628,pinky,??,2,1,0,0.0,0.25,-1.1762005047876407,5.979321550029042,1.192647505023414,0.18906326554038308,1515,pinky,,,,-1.2684785168450365,5.8825887857806665,1.1313451897998437,1512,pinky,-1.0794677405392652,5.887043537971646,1.2046250804402179,6603,pinky,-1.0839224927302444,6.0760543142774175,1.2200854342997949,6602,pinky,-1.272933269036016,6.071599562086438,1.1451026675832547,1513,pinky
629,pinky,??,3,1,1,1.0,0.25,-0.987189728481869,5.983776302220021,1.2034401950297686,0.18906326554038308,2318,pinky,,,,-1.0794677405392652,5.887043537971646,1.2046250804402179,6603,pinky,-0.8904569642334937,5.891498290162625,1.1569229848490443,2319,pinky,-0.894911716424473,6.080509066468396,1.1619890630341265,2320,pinky,-1.0839224927302444,6.0760543142774175,1.2200854342997949,6602,pinky
630,pinky,??,4,2,0,0.0,0.5,-1.18065525697862,6.168332326334814,1.2108484705523812,0.18906326554038308,1516,pinky,,,,-1.272933269036016,6.071599562086438,1.1451026675832547,1513,pinky,-1.0839224927302444,6.0760543142774175,1.2200854342997949,6602,pinky,-1.0883772449212237,6.26506509058319,1.2430790660752287,1518,pinky,-1.2773880212269952,6.26061033839221,1.160608710347364,1514,pinky
631,pinky,??,5,2,1,1.0,0.5,-0.9916444806728483,6.172787078525793,1.2198108013566837,0.18906326554038308,6599,pinky,,,,-1.0839224927302444,6.0760543142774175,1.2200854342997949,6602,pinky,-0.894911716424473,6.080509066468396,1.1619890630341265,2320,pinky,-0.8993664686154522,6.2695198427741685,1.1840535007597348,2321,pinky,-1.0883772449212237,6.26506509058319,1.2430790660752287,1518,pinky
632,pinky,??,6,3,0,0.0,0.75,-1.1851100091695992,6.357343102640586,1.2298302855243812,0.18906326554038308,1517,pinky,,,,-1.2773880212269952,6.26061033839221,1.160608710347364,1514,pinky,-1.0883772449212237,6.26506509058319,1.2430790660752287,1518,pinky,-1.092831997112203,6.454075866888961,1.2617910455668062,1520,pinky,-1.2818427734179745,6.449621114697981,1.1705077505794559,1571,pinky
633,pinky,??,7,3,1,1.0,0.75,-0.9960992328638275,6.361797854831565,1.2439484855444092,0.18906326554038308,6598,pinky,,,,-1.0883772449212237,6.26506509058319,1.2430790660752287,1518,pinky,-0.8993664686154522,6.2695198427741685,1.1840535007597348,2321,pinky,-0.9038212208064315,6.45853061907994,1.2023230536393652,6596,pinky,-1.092831997112203,6.454075866888961,1.2617910455668062,1520,pinky
634,pinky,??,8,4,0,0.0,1.0,-1.1895647613605784,6.5463538789463565,1.235545573415973,0.18906326554038308,1568,pinky,,,,-1.2818427734179745,6.4496211146979805,1.1705077505794559,1571,pinky,-1.092831997112203,6.45407586688896,1.261791045566806,1520,pinky,-1.0972867493031822,6.643086643194732,1.2597785568616826,1564,pinky,-1.2862975256089537,6.638631891003753,1.1498451690039253,1790,pinky
635,pinky,??,9,4,1,1.0,1.0,-1.0005539850548069,6.550808631137335,1.2515249642001811,0.18906326554038308,1524,pinky,,,,-1.092831997112203,6.45407586688896,1.261791045566806,1520,pinky,-0.9038212208064315,6.458530619079939,1.2023230536393652,6596,pinky,-0.9082759729974107,6.647541395385711,1.1965681357208788,1527,pinky,-1.0972867493031822,6.643086643194732,1.2597785568616826,1564,pinky
