quad_id_0based,face_id_1based,center_x,center_y,center_z,u,v,sensor_00,sensor_10,sensor_01,sensor_11,weight_00,weight_10,weight_01,weight_11
117,118,-0.5287214367499999,0.44173888850000004,1.0867900549999998,0.22272278768294557,0.03922953747187736,0,1,5,6,0.04918479359588421,0.4016016817978328,0.059924055672333526,0.4892894689339495
2602,2603,2.0424494425,2.4191459424999997,0.82544873675,0.9883204375168109,0.7216732123252573,53,54,58,59,0.04188641621570884,0.8546886112306886,0.004831833717047686,0.09859313883655481
2604,2605,1.9283236550000002,2.253624915,0.93506856275,0.9543380851960948,0.6645485155947038,48,49,53,54,0.12718136083597423,0.5691394208381717,0.05546629837964676,0.24821291994620734
2605,2606,2.0161226375,2.1305779225,0.9897856572500001,0.9804813085820924,0.6220824782800841,43,44,48,49,0.02270767896264813,0.26813762511617356,0.05536708670898239,0.6537876092121959
2855,2856,-1.1130534425,3.0573136200000004,1.079631805,0.04873076951906425,0.9419179485442205,65,66,70,71,0.6546472688704952,0.15850145151041703,0.1504296530532478,0.03642162656583997
2856,2857,-0.986385838,3.0734491925,1.123506875,0.08644760160436431,0.9474866650967826,65,66,70,71,0.48096618478576947,0.25422050385927425,0.17324340879677325,0.09156990255818295
2858,2859,-0.83978839225,3.0950886024999997,1.145094635,0.13009878824606505,0.9549548686981534,65,66,70,71,0.30245408629556475,0.3281777519302877,0.17715076072017508,0.19221740105397248
2860,2861,-0.66874212025,3.1214721825000002,1.147052675,0.18102991262712617,0.964060382534855,65,66,70,71,0.1388104791762479,0.36434416533578196,0.13706987031524742,0.35977548517272273
2862,2863,-0.4837399125,3.1510669,1.1270163925,0.2361165879665698,0.9742741256921339,65,66,70,71,0.02000112312443503,0.34016111718568953,0.03553252500928571,0.6043052346805897
2864,2865,-0.2972114495,3.1819434175,1.088861315,0.29165772451739247,0.9849302442827651,66,67,71,72,0.175821363037362,0.035155217003926376,0.6575477388930682,0.1314756810656435
2866,2867,-0.11063943315,3.2127118125000003,1.045835765,0.34721182961210756,0.9955490475841215,66,67,71,72,0.03808296106191628,0.024230372760382916,0.5730697204896534,0.3646169456880473
2948,2949,1.9157640925,2.6811521050000002,0.8031647502499999,0.9505983214913397,0.8120969053170657,58,59,63,64,0.12461935529200369,0.5060239702690776,0.07298735874263745,0.2963693156962813
2949,2950,1.9735997625000001,2.5456432725,0.80518551175,0.9678196012537658,0.7653300317796603,53,54,58,59,0.03673451150660144,0.24864504357815434,0.09198708347833552,0.6226333614369087
2950,2951,1.72125983,2.6600006825,0.85392946,0.8926822928623495,0.8047971161967238,58,59,63,64,0.3145869942185861,0.4182533790272814,0.1146838343320161,0.15247579242211642
2951,2952,1.78055939,2.51444942,0.8647670300000001,0.9103394638184181,0.7545643943809913,53,54,58,59,0.15640329370070633,0.27969518496541496,0.20223885102562117,0.36166267030825755
2952,2953,1.5829549425,2.4823990474999995,0.9111003129999999,0.8515003170998426,0.7435031543873971,53,54,58,59,0.35102701854639246,0.23992882003004884,0.24297171305423698,0.16607244836932172
2953,2954,1.6509202725,2.3397120825,0.94582724575,0.8717378273089507,0.6942589603043942,48,49,53,54,0.14384579874522122,0.13652875699325992,0.3692028920189761,0.35042255224254276
2954,2955,1.8493202924999999,2.379666805,0.89137473725,0.9308138654924955,0.7080481533769535,48,49,53,54,0.024166952769807588,0.06315889995284389,0.2525775852602106,0.660096562017138
2955,2956,1.451307235,2.2978674775,0.98606744475,0.812300598294138,0.6798175300732121,48,49,53,54,0.362300823056149,0.12025375591888102,0.38849678376729885,0.1289486372576711
2956,2957,1.5252039425,2.1544394474999997,1.03697067475,0.8343042488679043,0.6303175792804903,43,44,48,49,0.11635413471931845,0.05919975535381748,0.5464288698090642,0.2780172401177998
2957,2958,1.7278137199999999,2.2048891175,0.99346446875,0.8946337939553975,0.6477287936889226,48,49,53,54,0.39271961172056485,0.5390772766345192,0.028745212457844973,0.039457899187071016
2958,2959,1.6057120875,2.014083475,1.09093058,0.858276536008331,0.5818778584517611,43,44,48,49,0.4839629433891761,0.36974703828616784,0.08293091257749997,0.06335910574715607
2959,2960,1.8114548925,2.0725918125000002,1.0487778474999998,0.9195389784424076,0.6020702840690827,43,44,48,49,0.18377813015590455,0.38723789287693705,0.13806595607446498,0.2909180208926934
