vertex_id_0based,vertex_id_1based,x,y,z,u,v,sensor_00,sensor_10,sensor_01,sensor_11,weight_00,weight_10,weight_01,weight_11
37,38,-0.371295214,0.328640372,1.07772243,0.26959837542870413,0.0001969229858537587,1,2,6,7,0.9190657012372399,0.07817737696080752,0.002540797047943634,0.0002161247540089879
288,289,-0.449673831,0.580046713,1.13242459,0.24626018135661962,0.08696240047639879,5,6,10,11,0.011706027178857215,0.7708203661515598,0.003253247394664316,0.21422035927491873
289,290,-0.657384872,0.531207442,1.09555376,0.18441167252451432,0.07010696774646169,0,1,5,6,0.0048541794053211865,0.01364827214421515,0.25749913049662154,0.7239984179538421
3306,3307,1.9108237,2.46267486,0.844798744,0.9491272590591299,0.7366959332976534,53,54,58,59,0.13964708485501834,0.5466098489778347,0.06384387890846217,0.2498991872586848
3307,3308,1.98566198,2.33643126,0.877153695,0.9714112743877111,0.6931266812630542,48,49,53,54,0.03387494820114655,0.2623515141160947,0.08047995424800891,0.6232935834347498
3308,3309,2.07036209,2.21790981,0.92489326,0.996631770497089,0.6522225013556678,48,49,53,54,0.011706416110840244,0.8571785649098107,0.0017665019008039414,0.12934851707854514
3309,3310,1.78757036,2.29369855,0.943152666,0.9124270660849082,0.678378747806535,48,49,53,54,0.17609079054406518,0.32660674016444613,0.17420094511630202,0.32310152417518667
3310,3311,1.86970019,2.16646004,0.99507463,0.9368822298146703,0.6344661319535583,43,44,48,49,0.02965882627876254,0.08781532637142114,0.22281225446255631,0.6597135928872601
3311,3312,1.95819998,2.03681636,1.05177534,0.9632341272251428,0.5897234426717815,43,44,48,49,0.10939638422005458,0.6344754183750047,0.03766710687937426,0.2184610905255665
3313,3314,2.04673481,1.90809953,1.11259222,0.9895964582251783,0.5453006283084025,38,39,43,44,0.015222096273487222,0.35056910740887776,0.02639207082579967,0.6078167254918354
3596,3597,-1.27223444,3.15326285,0.989339232,0.0013326760793318535,0.9750319930137675,65,66,70,71,0.34768873893034286,0.0018633588769119878,0.6469805567523298,0.003467345440415426
3597,3598,-1.16873062,3.15936923,1.05709255,0.032152207359937394,0.977139429820378,65,66,70,71,0.2788869861189368,0.04116099639576987,0.5925041844413136,0.08744783304397971
3598,3599,-1.0509578,3.17257857,1.10908437,0.06722050831728495,0.9816982436031816,65,66,70,71,0.18733040094223585,0.06889418861322241,0.5437875657886244,0.19998784465591737
3599,3600,-1.17630136,2.94206381,1.04703593,0.029897926713606353,0.9021428786093512,60,61,65,66,0.3257508038739514,0.044248895595132134,0.5546574892716232,0.07534281125929328
3600,3601,-1.05622399,2.95524287,1.10531437,0.06565243568542836,0.9066912421439708,60,61,65,66,0.22587930818043342,0.08044330180397598,0.5115109490778531,0.18216644093773746
3601,3602,-0.918649197,2.97357154,1.13887048,0.10661701686017465,0.9130168415619927,60,61,65,66,0.12489473286756946,0.09286948526453209,0.4486371996917319,0.3335985821761665
3602,3603,-0.919712365,3.19240379,1.14075828,0.10630044555456933,0.9885403330779856,65,66,70,71,0.09221794572404392,0.06821739118415664,0.4825802720576788,0.35698439103412066
3603,3604,-0.757434189,2.99723721,1.15027666,0.15462076186165452,0.9211843489904695,60,61,65,66,0.0394561452599554,0.06396296887347146,0.3420608072934265,0.5545200785731467
3604,3605,-0.763357818,3.21714187,1.15047312,0.15285692870786172,0.9970779511621662,65,66,70,71,0.015895980720076232,0.025012703009595703,0.3726763044484769,0.5864150118218512
3605,3606,-0.574048102,3.02518964,1.14174008,0.20922621743541353,0.9308313050947747,65,66,70,71,0.15793508227514497,0.8104266463980087,0.005160047983200899,0.02647822334364548
3607,3608,-0.387175709,3.05543423,1.10691249,0.2648697633600481,0.9412693325622513,66,67,71,72,0.77332392102897,0.048905423099512284,0.1671970255308377,0.010573630340680045
3609,3610,-0.20063363,3.08630705,1.06469393,0.3204149542417923,0.9519241750699017,66,67,71,72,0.48348715631637623,0.18957439270500023,0.2348530267164546,0.0920854242621689
3611,3612,-0.0137825506,3.11680913,1.02191556,0.37605215378073886,0.962451067610193,66,67,71,72,0.26063012066275715,0.2650549327945412,0.23516126421428743,0.23915368232841425
3613,3614,0.174043909,3.14596748,0.988620996,0.43197978473163123,0.9725142114057045,66,67,71,72,0.1046969983922721,0.28010404192786575,0.16738386268120298,0.4478150969986592
3615,3616,0.362754345,3.17284679,0.965254545,0.4881706304924805,0.981790811818764,66,67,71,72,0.012062580063956675,0.24286605447334741,0.03525489796612134,0.7098164674965746
3617,3618,0.550587356,3.19693828,0.945416808,0.544100212203038,0.9901052784507282,67,68,72,73,0.11408997976908546,0.024436121920720165,0.7095091714187628,0.15196472689143162
3619,3620,0.73801887,3.21757627,0.927930117,0.5999102432598071,0.997227871499386,67,68,72,73,0.023299813169344236,0.015509985839252477,0.5770592137914272,0.38413098719997607
3684,3685,1.98609924,2.75876045,0.781077325,0.9715414739131756,0.8388811347219076,58,59,63,64,0.029103295418788453,0.22656081847450402,0.08473080892850923,0.6596050771781983
3685,3686,2.03740478,2.6239295,0.767878771,0.9868183274138325,0.7923482123193903,58,59,63,64,0.047829700430397436,0.8592953270981373,0.004896989914272713,0.08797798255719254
3686,3687,1.79159021,2.74399662,0.830992162,0.9136240257026145,0.8337858346016166,58,59,63,64,0.11297919240639652,0.21401912317097183,0.23252470478314557,0.44047697963948607
3687,3688,1.84796214,2.59792185,0.832710743,0.9304094589357367,0.7833724396253477,53,54,58,59,0.009126338839431564,0.02365950640569972,0.2692358254176217,0.697978329337247
