sensor_index,row,col,u,v,x,y,z,source_quad_id_0based,source_face_id_1based,triangle_slot,tri_v0_1based,tri_v1_1based,tri_v2_1based,bary_w0,bary_w1,bary_w2
52,10,2,0.5,0.7142857142857143,0.4024819099999999,2.39774038,0.999365662642518,3437,3438,0,4169,4168,4170,0.2842500051996243,0.007006937622901796,0.7087430571774739
53,10,3,0.75,0.7142857142857143,1.2420779039949996,2.39774038,0.9684413355758916,3232,3233,1,3977,3980,3695,0.36614579404211456,0.2629794014070312,0.3708748045508542
54,10,4,1.0,0.7142857142857143,2.08167389799,2.39774038,0.8234796596615098,2602,2603,1,3306,3307,3308,0.6158058838296496,0.27589334223840534,0.10830077393194504
55,11,0,0.0,0.7857142857142857,-1.27671007799,2.60470744,0.9795787535943407,3185,3186,0,3937,3936,3938,0.28903664422317743,0.16716045285941553,0.5438029029174071
56,11,1,0.25,0.7857142857142857,-0.43711408399500007,2.60470744,1.1386321246694275,3430,3431,1,4161,3948,3946,0.004921682574477337,0.5819177047942136,0.4131606126313091
57,11,2,0.5,0.7857142857142857,0.4024819099999999,2.60470744,0.9834062929764869,3438,3439,0,4169,4171,3956,0.1044275356921725,0.601160782308153,0.29441168199967455
58,11,3,0.75,0.7857142857142857,1.2420779039949996,2.60470744,0.9268468144997588,3229,3230,0,3977,3976,3975,0.4570996323292086,0.4740146287048486,0.06888573896594286
59,11,4,1.0,0.7857142857142857,2.08167389799,2.60470744,0.7513062893619052,2947,2948,0,3305,3686,3683,0.1912910090592616,0.6091870644352881,0.19952192650545025
60,12,0,0.0,0.8571428571428571,-1.27671007799,2.8116745,0.9802315210002953,3183,3184,0,3937,3936,3934,0.15495422330708591,0.4301233907451,0.4149223859478141
61,12,1,0.25,0.8571428571428571,-0.43711408399500007,2.8116745,1.1267695711831438,3194,3195,1,3947,3948,3949,0.3388366205795702,0.06463537644467916,0.5965280029757506
62,12,2,0.5,0.8571428571428571,0.4024819099999999,2.8116745,0.9705376482097023,3204,3205,0,3957,3956,3958,0.28369102102487703,0.6760347782951216,0.040274200680001364
