export_segment,finger,finger_label,source_component,source_row,source_col,segment_row,segment_col,global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
finger_tip_third,middle,??,middle,9,0,0,0,515,middle,??,27,9,0,0.0,0.6923076923076923,1.5190734482668455,7.517819631140249,1.133419297225204,0.18906326554038308,7021,middle,,9,0,1.4053024620964316,7.447615486716944,1.0518659664019274,7024,middle,1.5892775926901503,7.404048644969835,1.157538930274716,7023,middle,1.6328444344372592,7.5880237755635545,1.184935177229743,7019,middle,1.4488693038435407,7.631590617310663,1.0738612933560363,7096,middle
finger_tip_third,middle,??,middle,9,1,0,1,516,middle,??,28,9,1,0.5,0.6923076923076923,1.703048578860564,7.47425278939314,1.1807608542380574,0.18906326554038308,7020,middle,,9,1,1.5892775926901501,7.404048644969835,1.157538930274716,7023,middle,1.7732527232838686,7.360481803222727,1.1371138419670086,844,middle,1.8168195650309775,7.544456933816446,1.174160857737243,840,middle,1.632844434437259,7.5880237755635545,1.184935177229743,7019,middle
finger_tip_third,middle,??,middle,9,2,0,2,517,middle,??,29,9,2,1.0,0.6923076923076923,1.8870237094542825,7.430685947646031,1.1013014241052712,0.18906326554038308,841,middle,,9,2,1.7732527232838688,7.360481803222727,1.1371138419670084,844,middle,1.9572278538775874,7.316914961475617,0.9793020185441766,777,middle,2.000794695624696,7.500890092069336,1.0151853333781762,778,middle,1.8168195650309777,7.544456933816446,1.1741608577372429,840,middle
finger_tip_third,middle,??,middle,10,0,1,0,518,middle,??,30,10,0,0.0,0.7692307692307693,1.5626402900139544,7.701794761733968,1.159881548353224,0.18906326554038308,7099,middle,,10,0,1.4488693038435407,7.631590617310663,1.0738612933560363,7096,middle,1.6328444344372592,7.5880237755635545,1.184935177229743,7019,middle,1.6764112761843681,7.771998906157273,1.211578462779953,7018,middle,1.4924361455906494,7.815565747904381,1.095626078502605,7097,middle
finger_tip_third,middle,??,middle,10,1,1,1,519,middle,??,31,10,1,0.5,0.7692307692307693,1.746615420607673,7.658227919986859,1.2097820776933963,0.18906326554038308,7016,middle,,10,1,1.632844434437259,7.5880237755635545,1.184935177229743,7019,middle,1.8168195650309775,7.544456933816446,1.174160857737243,840,middle,1.8603864067780864,7.728432064410164,1.2073466568973013,7017,middle,1.676411276184368,7.771998906157273,1.2115784627799528,7018,middle
finger_tip_third,middle,??,middle,10,2,1,2,520,middle,??,32,10,2,1.0,0.7692307692307693,1.9305905512013914,7.614661078239751,1.1364026771157492,0.18906326554038308,837,middle,,10,2,1.8168195650309777,7.544456933816446,1.1741608577372429,840,middle,2.000794695624696,7.500890092069336,1.0151853333781762,778,middle,2.044361537371805,7.6848652226630545,1.049066970813707,838,middle,1.8603864067780866,7.728432064410164,1.2073466568973015,7017,middle
finger_tip_third,middle,??,middle,11,0,2,0,521,middle,??,33,11,0,0.0,0.8461538461538461,1.6062071317610633,7.885769892327686,1.1875452908203865,0.18906326554038308,7100,middle,,11,0,1.4924361455906494,7.815565747904381,1.095626078502605,7097,middle,1.6764112761843681,7.771998906157273,1.211578462779953,7018,middle,1.719978117931477,7.955974036750992,1.2436916602372432,7102,middle,1.5360029873377585,7.999540878498101,1.1181119721056234,6967,middle
finger_tip_third,middle,??,middle,11,1,2,1,522,middle,??,34,11,1,0.5,0.8461538461538461,1.7901822623547818,7.8422030505805775,1.2388389557860455,0.18906326554038308,7015,middle,,11,1,1.676411276184368,7.771998906157273,1.2115784627799528,7018,middle,1.8603864067780864,7.728432064410164,1.2073466568973013,7017,middle,1.9039532485251953,7.912407195003883,1.2407019565058428,7013,middle,1.7199781179314768,7.955974036750992,1.2436916602372432,7102,middle
finger_tip_third,middle,??,middle,11,2,2,2,523,middle,??,35,11,2,1.0,0.8461538461538461,1.9741573929485003,7.798636208833469,1.1699196270000425,0.18906326554038308,836,middle,,11,2,1.8603864067780866,7.728432064410164,1.2073466568973015,7017,middle,2.044361537371805,7.6848652226630545,1.049066970813707,838,middle,2.087928379118914,7.868840353256774,1.0840724088155616,834,middle,1.9039532485251955,7.912407195003883,1.2407019565058428,7013,middle
finger_tip_third,middle,??,middle,12,0,3,0,524,middle,??,36,12,0,0.0,0.9230769230769231,1.6497739735081718,8.069745022921403,1.2146441933309835,0.18906326554038308,7101,middle,,12,0,1.536002987337758,7.999540878498099,1.118111972105623,6967,middle,1.7199781179314766,7.95597403675099,1.243691660237243,7102,middle,1.7635449596785855,8.139949167344708,1.2696500563275486,7103,middle,1.5795698290848668,8.183516009091816,1.1427091499495656,6968,middle
