export_segment,finger,finger_label,source_component,source_row,source_col,segment_row,segment_col,global_wiring_id,component,component_label,local_grid_id,row,col,u,v,center_x,center_y,center_z,cell_size_xy,source_quad_id,source_region,source_palm_grid_id,source_row,source_col,c0_x,c0_y,c0_z,c0_source_quad_id,c0_source_region,c1_x,c1_y,c1_z,c1_source_quad_id,c1_source_region,c2_x,c2_y,c2_z,c2_source_quad_id,c2_source_region,c3_x,c3_y,c3_z,c3_source_quad_id,c3_source_region
finger_to_palm,thumb,??,thumb,0,0,0,0,381,thumb,??,0,0,0,0.0,0.0,3.379286298384179,1.9181076784467033,1.0799308447017053,0.18906326554038308,6550,thumb,,0,0,3.253432157409964,1.9631986352788566,1.0491420331610721,6549,thumb,3.3341953415520256,1.7922535374724882,1.1083226658958423,2620,thumb,3.5051404393583945,1.8730167216145497,1.105325263880114,6547,thumb,3.4243772552163327,2.043961819420918,1.0361464292561509,6549,thumb
finger_to_palm,thumb,??,thumb,0,1,0,1,382,thumb,??,1,0,1,0.5,0.0,3.4600494825262404,1.7471625806403348,1.1204533310630156,0.18906326554038308,2620,thumb,,0,1,3.3341953415520256,1.7922535374724882,1.1083226658958423,2620,thumb,3.414958525694087,1.6213084396661197,1.1204683042024075,2622,thumb,3.5859036235004558,1.7020716238081812,1.1153487854974102,2623,thumb,3.5051404393583945,1.8730167216145497,1.105325263880114,6547,thumb
finger_to_palm,thumb,??,thumb,0,2,0,2,383,thumb,??,2,0,2,1.0,0.0,3.540812666668302,1.5762174828339663,1.1018055739928547,0.18906326554038308,2624,thumb,,0,2,3.414958525694087,1.6213084396661197,1.1204683042024075,2622,thumb,3.495721709836148,1.4503633418597512,1.074648625152546,2981,thumb,3.666666807642517,1.5311265260018128,1.0560621679722106,2627,thumb,3.5859036235004558,1.7020716238081812,1.1153487854974102,2623,thumb
finger_to_palm,thumb,??,thumb,1,0,1,0,384,thumb,??,3,1,0,0.0,0.08333333333333333,3.5502313961905476,1.9988708625887646,1.078422280912159,0.18906326554038308,6546,thumb,,1,0,3.4243772552163323,2.043961819420918,1.0361464292561509,6549,thumb,3.505140439358394,1.8730167216145495,1.105325263880114,6547,thumb,3.6760855371647625,1.9537799057566112,1.1082438807564277,6547,thumb,3.5953223530227008,2.12472500356298,1.03318867872607,6548,thumb
finger_to_palm,thumb,??,thumb,1,1,1,1,385,thumb,??,4,1,1,0.5,0.08333333333333333,3.630994580332609,1.827925764782396,1.1195943803538726,0.18906326554038308,2623,thumb,,1,1,3.505140439358394,1.8730167216145495,1.105325263880114,6547,thumb,3.5859036235004553,1.702071623808181,1.1153487854974105,2623,thumb,3.756848721306824,1.7828348079502427,1.1156403724946302,2623,thumb,3.6760855371647625,1.9537799057566112,1.1082438807564277,6547,thumb
finger_to_palm,thumb,??,thumb,1,2,1,2,386,thumb,??,5,1,2,1.0,0.08333333333333333,3.7117577644746707,1.6569806669760276,1.0956219308116746,0.18906326554038308,2625,thumb,,1,2,3.5859036235004553,1.702071623808181,1.1153487854974105,2623,thumb,3.6666668076425166,1.5311265260018125,1.0560621679722109,2627,thumb,3.837611905448885,1.6118897101438743,1.04853276035209,2627,thumb,3.756848721306824,1.7828348079502427,1.1156403724946302,2623,thumb
finger_to_palm,thumb,??,thumb,2,0,2,0,387,thumb,??,6,2,0,0.0,0.16666666666666666,3.721176493996916,2.0796340467308263,1.0866244406089856,0.18906326554038308,6545,thumb,,2,0,3.5953223530227008,2.12472500356298,1.03318867872607,6548,thumb,3.6760855371647625,1.9537799057566112,1.1082438807564277,6547,thumb,3.8470306349711314,2.0345430898986727,1.1264008292378265,6543,thumb,3.7662674508290697,2.205488187705041,1.0453735646618583,6561,thumb
finger_to_palm,thumb,??,thumb,2,1,2,1,388,thumb,??,7,2,1,0.5,0.16666666666666666,3.8019396781389774,1.9086889489244578,1.1297986746663538,0.18906326554038308,6544,thumb,,2,1,3.6760855371647625,1.9537799057566112,1.1082438807564277,6547,thumb,3.756848721306824,1.7828348079502427,1.1156403724946302,2623,thumb,3.9277938191131927,1.8635979920923043,1.1308221820493385,6544,thumb,3.8470306349711314,2.0345430898986727,1.1264008292378265,6543,thumb
finger_to_palm,thumb,??,thumb,2,2,2,2,389,thumb,??,8,2,2,1.0,0.16666666666666666,3.882702862281039,1.7377438511180894,1.099080497418608,0.18906326554038308,2626,thumb,,2,2,3.756848721306824,1.7828348079502427,1.1156403724946302,2623,thumb,3.837611905448885,1.6118897101438743,1.04853276035209,2627,thumb,4.008557003255254,1.6926528942859358,1.0509821642693573,2628,thumb,3.9277938191131927,1.8635979920923043,1.1308221820493385,6544,thumb
finger_to_palm,thumb,??,thumb,3,0,3,0,390,thumb,??,9,3,0,0.0,0.25,3.8921215918032845,2.1603972308728876,1.1088433902688555,0.18906326554038308,6562,thumb,,3,0,3.7662674508290688,2.205488187705041,1.045373564661858,6561,thumb,3.8470306349711305,2.0345430898986727,1.1264008292378267,6543,thumb,4.0179757327775,2.115306274040734,1.1533668530447554,6542,thumb,3.937212548635438,2.2862513718471025,1.070365605062966,2077,thumb
finger_to_palm,thumb,??,thumb,3,1,3,1,391,thumb,??,10,3,1,0.5,0.25,3.972884775945346,1.989452133066519,1.1513066705650263,0.18906326554038308,6540,thumb,,3,1,3.8470306349711305,2.0345430898986727,1.1264008292378267,6543,thumb,3.927793819113192,1.863597992092304,1.1308221820493385,6544,thumb,4.098738916919561,1.9443611762343656,1.1521859328483868,6540,thumb,4.0179757327775,2.115306274040734,1.1533668530447554,6542,thumb
finger_to_palm,thumb,??,thumb,3,2,3,2,392,thumb,??,11,3,2,1.0,0.25,4.053647960087408,1.8185070352601505,1.1107390580290533,0.18906326554038308,6541,thumb,,3,2,3.927793819113192,1.863597992092304,1.1308221820493385,6544,thumb,4.0085570032552535,1.6926528942859356,1.0509821642693575,2628,thumb,4.1795021010616225,1.773416078427997,1.0631761530265869,2629,thumb,4.098738916919561,1.9443611762343656,1.1521859328483868,6540,thumb
finger_to_palm,thumb,??,thumb,4,0,4,0,393,thumb,??,12,4,0,0.0,0.3333333333333333,4.063066689609652,2.2411604150149493,1.1404337819470391,0.18906326554038308,2080,thumb,,4,0,3.937212548635438,2.2862513718471025,1.070365605062966,2077,thumb,4.0179757327775,2.115306274040734,1.1533668530447554,6542,thumb,4.188920830583868,2.1960694581827958,1.185551151580254,6563,thumb,4.108157646441806,2.367014555989164,1.1051753724672482,2078,thumb
finger_to_palm,thumb,??,thumb,4,1,4,1,394,thumb,??,13,4,1,0.5,0.3333333333333333,4.143829873751714,2.070215317208581,1.1768883835522275,0.18906326554038308,6563,thumb,,4,1,4.0179757327775,2.115306274040734,1.1533668530447554,6542,thumb,4.098738916919561,1.9443611762343656,1.1521859328483868,6540,thumb,4.269684014725929,2.0251243603764273,1.1841227039801439,6539,thumb,4.188920830583868,2.1960694581827958,1.185551151580254,6563,thumb
finger_to_palm,thumb,??,thumb,4,2,4,2,395,thumb,??,14,4,2,1.0,0.3333333333333333,4.224593057893776,1.8992702194022122,1.1335164966026139,0.18906326554038308,6537,thumb,,4,2,4.098738916919561,1.9443611762343656,1.1521859328483868,6540,thumb,4.1795021010616225,1.773416078427997,1.0631761530265869,2629,thumb,4.3504471988679905,1.8541792625700586,1.0914231424017664,6538,thumb,4.269684014725929,2.025124360376427,1.1841227039801439,6539,thumb
finger_to_palm,thumb,??,thumb,5,0,5,0,396,thumb,??,15,5,0,0.0,0.4166666666666667,4.23401178741602,2.32192359915701,1.1750724609160295,0.18906326554038308,2079,thumb,,5,0,4.108157646441806,2.3670145559891638,1.1051753724672482,2078,thumb,4.188920830583868,2.1960694581827953,1.185551151580254,6563,thumb,4.359865928390236,2.276832642324857,1.220235338839994,2081,thumb,4.279102744248174,2.4477777401312255,1.143639523097163,1301,thumb
finger_to_palm,thumb,??,thumb,5,1,5,1,397,thumb,??,16,5,1,0.5,0.4166666666666667,4.314774971558082,2.1509785013506417,1.2121012527017834,0.18906326554038308,2083,thumb,,5,1,4.188920830583868,2.1960694581827953,1.185551151580254,6563,thumb,4.269684014725929,2.025124360376427,1.1841227039801439,6539,thumb,4.440629112532297,2.1058875445184886,1.2229403887831625,6564,thumb,4.359865928390236,2.276832642324857,1.220235338839994,2081,thumb
finger_to_palm,thumb,??,thumb,5,2,5,2,398,thumb,??,17,5,2,1.0,0.4166666666666667,4.395538155700144,1.9800334035442733,1.1695958815982013,0.18906326554038308,6536,thumb,,5,2,4.269684014725929,2.0251243603764264,1.1841227039801439,6539,thumb,4.3504471988679905,1.8541792625700582,1.091423142401766,6538,thumb,4.5213922966743585,1.93494244671212,1.134240837018675,6534,thumb,4.440629112532297,2.105887544518488,1.2229403887831625,6564,thumb
finger_to_palm,thumb,??,thumb,6,0,6,0,399,thumb,??,18,6,0,0.0,0.5,4.404956885222389,2.402686783299072,1.2115542893304152,0.18906326554038308,2079,thumb,,6,0,4.279102744248174,2.4477777401312255,1.143639523097163,1301,thumb,4.359865928390236,2.276832642324857,1.220235338839994,2081,thumb,4.530811026196605,2.357595826466919,1.250204438306966,2082,thumb,4.450047842054543,2.5285409242732872,1.174536059716198,1302,thumb
finger_to_palm,thumb,??,thumb,6,1,6,1,400,thumb,??,19,6,1,0.5,0.5,4.485720069364451,2.2317416854927035,1.2503147669999164,0.18906326554038308,2083,thumb,,6,1,4.359865928390236,2.276832642324857,1.220235338839994,2081,thumb,4.440629112532297,2.1058875445184886,1.2229403887831625,6564,thumb,4.611574210338666,2.1866507286605503,1.257268859502356,2086,thumb,4.530811026196605,2.357595826466919,1.250204438306966,2082,thumb
