global_wiring_id,component,component_label,local_grid_id,row,col,u,v,source_quad_id,source_region,cell_size,center_x,center_y,center_z,c0_x,c0_y,c0_z,c1_x,c1_y,c1_z,c2_x,c2_y,c2_z,c3_x,c3_y,c3_z
0,palm,??,0,0,0,0.0,0.0,4006,palm,0.18906326554038308,0.09453163277019154,0.09453163277019154,0.0,0.0,0.0,0.0,0.18906326554038308,0.0,0.0,0.18906326554038308,0.18906326554038308,0.0,0.0,0.18906326554038308,0.0
1,palm,??,1,0,1,0.058823529411764705,0.0,4008,palm,0.18906326554038308,0.2835948983105746,0.09453163277019154,0.0,0.18906326554038308,0.0,0.0,0.37812653108076616,0.0,0.0,0.37812653108076616,0.18906326554038308,0.0,0.18906326554038308,0.18906326554038308,0.0
2,palm,??,2,0,2,0.11764705882352941,0.0,3888,palm,0.18906326554038308,0.4726581638509577,0.09453163277019154,0.0,0.37812653108076616,0.0,0.0,0.5671897966211492,0.0,0.0,0.5671897966211492,0.18906326554038308,0.0,0.37812653108076616,0.18906326554038308,0.0
3,palm,??,3,0,3,0.17647058823529413,0.0,3887,palm,0.18906326554038308,0.6617214293913407,0.09453163277019154,0.0,0.5671897966211492,0.0,0.0,0.7562530621615323,0.0,0.0,0.7562530621615323,0.18906326554038308,0.0,0.5671897966211492,0.18906326554038308,0.0
4,palm,??,4,0,4,0.23529411764705882,0.0,117,palm,0.18906326554038308,0.8507846949317239,0.09453163277019154,0.0,0.7562530621615323,0.0,0.0,0.9453163277019154,0.0,0.0,0.9453163277019154,0.18906326554038308,0.0,0.7562530621615323,0.18906326554038308,0.0
5,palm,??,5,0,5,0.29411764705882354,0.0,6500,palm,0.18906326554038308,1.039847960472107,0.09453163277019154,0.0,0.9453163277019154,0.0,0.0,1.1343795932422984,0.0,0.0,1.1343795932422984,0.18906326554038308,0.0,0.9453163277019154,0.18906326554038308,0.0
6,palm,??,6,0,6,0.35294117647058826,0.0,3761,palm,0.18906326554038308,1.22891122601249,0.09453163277019154,0.0,1.1343795932422984,0.0,0.0,1.3234428587826814,0.0,0.0,1.3234428587826814,0.18906326554038308,0.0,1.1343795932422984,0.18906326554038308,0.0
7,palm,??,7,0,7,0.4117647058823529,0.0,3762,palm,0.18906326554038308,1.4179744915528731,0.09453163277019154,0.0,1.3234428587826816,0.0,0.0,1.5125061243230646,0.0,0.0,1.5125061243230646,0.18906326554038308,0.0,1.3234428587826816,0.18906326554038308,0.0
8,palm,??,8,0,8,0.47058823529411764,0.0,3759,palm,0.18906326554038308,1.6070377570932561,0.09453163277019154,0.0,1.5125061243230646,0.0,0.0,1.7015693898634476,0.0,0.0,1.7015693898634476,0.18906326554038308,0.0,1.5125061243230646,0.18906326554038308,0.0
9,palm,??,9,0,9,0.5294117647058824,0.0,3759,palm,0.18906326554038308,1.7961010226336391,0.09453163277019154,0.0,1.7015693898634476,0.0,0.0,1.8906326554038306,0.0,0.0,1.8906326554038306,0.18906326554038308,0.0,1.7015693898634476,0.18906326554038308,0.0
10,palm,??,10,0,10,0.5882352941176471,0.0,3627,palm,0.18906326554038308,1.9851642881740224,0.09453163277019154,0.0,1.8906326554038309,0.0,0.0,2.079695920944214,0.0,0.0,2.079695920944214,0.18906326554038308,0.0,1.8906326554038309,0.18906326554038308,0.0
11,palm,??,11,0,11,0.6470588235294118,0.0,3621,palm,0.18906326554038308,2.174227553714405,0.09453163277019154,0.0,2.079695920944214,0.0,0.0,2.268759186484597,0.0,0.0,2.268759186484597,0.18906326554038308,0.0,2.079695920944214,0.18906326554038308,0.0
12,palm,??,12,0,12,0.7058823529411765,0.0,3624,palm,0.18906326554038308,2.3632908192547886,0.09453163277019154,0.0,2.268759186484597,0.0,0.0,2.45782245202498,0.0,0.0,2.45782245202498,0.18906326554038308,0.0,2.268759186484597,0.18906326554038308,0.0
13,palm,??,13,0,13,0.7647058823529411,0.0,3624,palm,0.18906326554038308,2.552354084795171,0.09453163277019154,0.0,2.45782245202498,0.0,0.0,2.646885717565363,0.0,0.0,2.646885717565363,0.18906326554038308,0.0,2.45782245202498,0.18906326554038308,0.0
14,palm,??,14,0,14,0.8235294117647058,0.0,3625,palm,0.18906326554038308,2.7414173503355546,0.09453163277019154,0.0,2.6468857175653633,0.0,0.0,2.8359489831057463,0.0,0.0,2.8359489831057463,0.18906326554038308,0.0,2.6468857175653633,0.18906326554038308,0.0
15,palm,??,15,0,15,0.8823529411764706,0.0,3478,palm,0.18906326554038308,2.930480615875938,0.09453163277019154,0.0,2.8359489831057463,0.0,0.0,3.0250122486461293,0.0,0.0,3.0250122486461293,0.18906326554038308,0.0,2.8359489831057463,0.18906326554038308,0.0
16,palm,??,16,0,16,0.9411764705882353,0.0,3476,palm,0.18906326554038308,3.119543881416321,0.09453163277019154,0.0,3.0250122486461293,0.0,0.0,3.2140755141865123,0.0,0.0,3.2140755141865123,0.18906326554038308,0.0,3.0250122486461293,0.18906326554038308,0.0
17,palm,??,17,0,17,1.0,0.0,3477,palm,0.18906326554038308,3.308607146956704,0.09453163277019154,0.0,3.2140755141865123,0.0,0.0,3.4031387797268953,0.0,0.0,3.4031387797268953,0.18906326554038308,0.0,3.2140755141865123,0.18906326554038308,0.0
18,palm,??,18,1,0,0.0,0.05263157894736842,3870,palm,0.18906326554038308,0.09453163277019154,0.2835948983105746,0.0,0.0,0.18906326554038308,0.0,0.18906326554038308,0.18906326554038308,0.0,0.18906326554038308,0.37812653108076616,0.0,0.0,0.37812653108076616,0.0
19,palm,??,19,1,1,0.058823529411764705,0.05263157894736842,3874,palm,0.18906326554038308,0.2835948983105746,0.2835948983105746,0.0,0.18906326554038308,0.18906326554038308,0.0,0.37812653108076616,0.18906326554038308,0.0,0.37812653108076616,0.37812653108076616,0.0,0.18906326554038308,0.37812653108076616,0.0
20,palm,??,20,1,2,0.11764705882352941,0.05263157894736842,3876,palm,0.18906326554038308,0.4726581638509577,0.2835948983105746,0.0,0.37812653108076616,0.18906326554038308,0.0,0.5671897966211492,0.18906326554038308,0.0,0.5671897966211492,0.37812653108076616,0.0,0.37812653108076616,0.37812653108076616,0.0
21,palm,??,21,1,3,0.17647058823529413,0.05263157894736842,3886,palm,0.18906326554038308,0.6617214293913407,0.2835948983105746,0.0,0.5671897966211492,0.18906326554038308,0.0,0.7562530621615323,0.18906326554038308,0.0,0.7562530621615323,0.37812653108076616,0.0,0.5671897966211492,0.37812653108076616,0.0
22,palm,??,22,1,4,0.23529411764705882,0.05263157894736842,3884,palm,0.18906326554038308,0.8507846949317239,0.2835948983105746,0.0,0.7562530621615323,0.18906326554038308,0.0,0.9453163277019154,0.18906326554038308,0.0,0.9453163277019154,0.37812653108076616,0.0,0.7562530621615323,0.37812653108076616,0.0
23,palm,??,23,1,5,0.29411764705882354,0.05263157894736842,3884,palm,0.18906326554038308,1.039847960472107,0.2835948983105746,0.0,0.9453163277019154,0.18906326554038308,0.0,1.1343795932422984,0.18906326554038308,0.0,1.1343795932422984,0.37812653108076616,0.0,0.9453163277019154,0.37812653108076616,0.0
24,palm,??,24,1,6,0.35294117647058826,0.05263157894736842,3885,palm,0.18906326554038308,1.22891122601249,0.2835948983105746,0.0,1.1343795932422984,0.18906326554038308,0.0,1.3234428587826814,0.18906326554038308,0.0,1.3234428587826814,0.37812653108076616,0.0,1.1343795932422984,0.37812653108076616,0.0
25,palm,??,25,1,7,0.4117647058823529,0.05263157894736842,3761,palm,0.18906326554038308,1.4179744915528731,0.2835948983105746,0.0,1.3234428587826816,0.18906326554038308,0.0,1.5125061243230646,0.18906326554038308,0.0,1.5125061243230646,0.37812653108076616,0.0,1.3234428587826816,0.37812653108076616,0.0
26,palm,??,26,1,8,0.47058823529411764,0.05263157894736842,3757,palm,0.18906326554038308,1.6070377570932561,0.2835948983105746,0.0,1.5125061243230646,0.18906326554038308,0.0,1.7015693898634476,0.18906326554038308,0.0,1.7015693898634476,0.37812653108076616,0.0,1.5125061243230646,0.37812653108076616,0.0
27,palm,??,27,1,9,0.5294117647058824,0.05263157894736842,3760,palm,0.18906326554038308,1.7961010226336391,0.2835948983105746,0.0,1.7015693898634476,0.18906326554038308,0.0,1.8906326554038306,0.18906326554038308,0.0,1.8906326554038306,0.37812653108076616,0.0,1.7015693898634476,0.37812653108076616,0.0
28,palm,??,28,1,10,0.5882352941176471,0.05263157894736842,3760,palm,0.18906326554038308,1.9851642881740224,0.2835948983105746,0.0,1.8906326554038309,0.18906326554038308,0.0,2.079695920944214,0.18906326554038308,0.0,2.079695920944214,0.37812653108076616,0.0,1.8906326554038309,0.37812653108076616,0.0
29,palm,??,29,1,11,0.6470588235294118,0.05263157894736842,3619,palm,0.18906326554038308,2.174227553714405,0.2835948983105746,0.0,2.079695920944214,0.18906326554038308,0.0,2.268759186484597,0.18906326554038308,0.0,2.268759186484597,0.37812653108076616,0.0,2.079695920944214,0.37812653108076616,0.0
