region,region_label,finger_group,quad_id,tri0,tri1,v0,v0_x,v0_y,v0_z,v1,v1_x,v1_y,v1_z,v2,v2_x,v2_y,v2_z,v3,v3_x,v3_y,v3_z,center_x,center_y,center_z,normal_x,normal_y,normal_z,area,region_u,region_v
index,??,index,1134,2268,2269,1603,3.147203207015991,6.857953071594238,1.0162853002548218,1602,3.0875141620635986,6.675352573394775,0.974236249923706,1501,3.1662397384643555,6.65690279006958,0.9392097592353821,1606,3.2247960567474365,6.839827060699463,0.9822947978973389,3.1564382910728455,6.757508873939514,0.9780065268278122,0.32161503306727246,-0.31224000391293566,0.8939071263065237,0.017189546512056487,0.6852868921087455,0.5374530801579364
index,??,index,1983,3966,3967,2665,2.6563618183135986,6.862991809844971,0.7458272576332092,1668,2.591097116470337,6.673328876495361,0.7159395813941956,1666,2.6180126667022705,6.6542158126831055,0.7880099415779114,1665,2.6817879676818848,6.841988563537598,0.818686306476593,2.6368148922920227,6.758131265640259,0.7671157717704773,-0.889334879930129,0.24177451398120878,0.38810894827201997,0.01606057632766854,0.012498063509263843,0.4765745435030303
index,??,index,1132,2264,2265,1603,3.147203207015991,6.857953071594238,1.0162853002548218,1602,3.0875141620635986,6.675352573394775,0.974236249923706,1599,3.0050785541534424,6.699368953704834,0.9910907745361328,1600,3.065786361694336,6.8814544677734375,1.0327706336975098,3.076395571231842,6.778532266616821,1.0035957396030426,0.11971967754096349,-0.2595380639028855,0.9582834612968283,0.017081506561195583,0.5729977650099674,0.5357792193180942
index,??,index,1130,2260,2261,1601,2.9842989444732666,6.908433437347412,1.033764123916626,1600,3.065786361694336,6.8814544677734375,1.0327706336975098,1599,3.0050785541534424,6.699368953704834,0.9910907745361328,1596,2.9232382774353027,6.726194381713867,0.9935675263404846,2.994600534439087,6.803862810134888,1.0127982646226883,-0.04649629749459808,-0.20421031012385782,0.977822194245156,0.01688930712274585,0.45665980982169596,0.5354848391886842
index,??,index,1188,2376,2377,1658,2.9090523719787598,6.937311172485352,1.017624855041504,1597,2.8482825756073,6.756073951721191,0.9739757776260376,1596,2.9232382774353027,6.726194381713867,0.9935675263404846,1601,2.9842989444732666,6.908433437347412,1.033764123916626,2.9162180423736572,6.832003235816956,1.004733070731163,-0.27634221044123874,-0.12712173614991965,0.9526148471059436,0.01621056175489776,0.34357680748207425,0.536626150761538
index,??,index,1187,2374,2375,1658,2.9090523719787598,6.937311172485352,1.017624855041504,1660,2.84397029876709,6.968489170074463,0.975166380405426,1661,2.780399799346924,6.786851406097412,0.9354214072227478,1597,2.8482825756073,6.756073951721191,0.9739757776260376,2.8454262614250183,6.8621814250946045,0.9755471050739288,-0.5254845897510108,-0.015435979020843723,0.8506630804765658,0.016452030678857896,0.2394756664860606,0.5394102728104636
index,??,index,1189,2378,2379,1661,2.780399799346924,6.786851406097412,0.9354214072227478,1660,2.84397029876709,6.968489170074463,0.975166380405426,1662,2.788186550140381,6.998664379119873,0.9224584102630615,1663,2.7242610454559326,6.815952777862549,0.882960855960846,2.784204423427582,6.892489433288574,0.9290017634630203,-0.6631619050952803,0.06998561231303377,0.7451968207792948,0.016216032349906817,0.1477069124397805,0.5433676081324575
index,??,index,1040,2080,2081,1493,3.3921589851379395,6.826125621795654,0.8102900981903076,1491,3.444046974182129,7.0096940994262695,0.8518896698951721,1495,3.402682304382324,7.008945465087891,0.9178888201713562,1496,3.350468158721924,6.823638916015625,0.8771193027496338,3.397339105606079,6.91710102558136,0.8642969727516174,0.802098722914917,-0.3365269729149265,0.49334291846440403,0.015354776891321418,0.9310909197451714,0.6245322222289484
index,??,index,6881,13762,13763,1496,3.350468158721924,6.823638916015625,0.8771193027496338,1498,3.294018507003784,6.828199863433838,0.9351276755332947,1610,3.3466055393218994,7.014344215393066,0.9748672842979431,1495,3.402682304382324,7.008945465087891,0.9178888201713562,3.348443627357483,6.918782114982605,0.926250770688057,0.6595710632665164,-0.33222646713346304,0.6742340743669776,0.015885559473913992,0.8671120350580573,0.6194009640215691
index,??,index,1980,3960,3961,2662,2.747620105743408,7.026275157928467,0.8565006256103516,1665,2.6817879676818848,6.841988563537598,0.818686306476593,1663,2.7242610454559326,6.815952777862549,0.882960855960846,1662,2.788186550140381,6.998664379119873,0.9224584102630615,2.7354639172554016,6.920720219612122,0.870151549577713,-0.8006035032601897,0.16151082247143372,0.5770167110163383,0.016221574229762396,0.07295119734478948,0.5480280775059584
index,??,index,1137,2274,2275,1498,3.294018507003784,6.828199863433838,0.9351276755332947,1606,3.2247960567474365,6.839827060699463,0.9822947978973389,1607,3.2796530723571777,7.025730133056641,1.0204418897628784,1610,3.3466055393218994,7.014344215393066,0.9748672842979431,3.2862682938575745,6.927025318145752,0.9781829118728638,0.49788741270013553,-0.3130946725338896,0.8087520326439133,0.01642535506168042,0.7832322570100654,0.6151236487085081
index,??,index,1135,2270,2271,1603,3.147203207015991,6.857953071594238,1.0162853002548218,1606,3.2247960567474365,6.839827060699463,0.9822947978973389,1607,3.2796530723571777,7.025730133056641,1.0204418897628784,1604,3.2041001319885254,7.043153762817383,1.0526827573776245,3.2139381170272827,6.941666007041931,1.017926186323166,0.32572578683804426,-0.2795171988313011,0.9032014433924693,0.016830804201800713,0.6835642539912443,0.6120071742871753
index,??,index,1979,3958,3959,2665,2.6563618183135986,6.862991809844971,0.7458272576332092,2664,2.722933530807495,7.048975944519043,0.7834746837615967,2662,2.747620105743408,7.026275157928467,0.8565006256103516,1665,2.6817879676818848,6.841988563537598,0.818686306476593,2.7021758556365967,6.9450578689575195,0.8011222183704376,-0.8930596518876454,0.24204715557624956,0.37928568737531426,0.016044575818588657,0.01980475452651094,0.5530726068319003
index,??,index,1133,2266,2267,1603,3.147203207015991,6.857953071594238,1.0162853002548218,1604,3.2041001319885254,7.043153762817383,1.0526827573776245,1605,3.125462770462036,7.065533638000488,1.0692113637924194,1600,3.065786361694336,6.8814544677734375,1.0327706336975098,3.135638117790222,6.962023735046387,1.0427375137805939,0.13231773561431664,-0.23185542109070403,0.9637090227619289,0.016720276983042084,0.5738059028330128,0.6102932119979491
